customer_id,first_name,last_name,city,signup_date
1,David,Smith,Liverpool,2024-09-07
2,Sofia,Brown,Manchester,2025-11-23
3,Charlie,Walker,Glasgow,2024-02-02
4,Alice,Johnson,Leeds,2024-08-26
5,Alice,Roberts,Leeds,2025-10-27
6,Grace,Taylor,Edinburgh,2025-08-26
7,Liam,Smith,Birmingham,2025-12-15
8,Grace,Davies,Liverpool,2024-06-08
9,James,Davies,Manchester,2024-04-04
10,Ethan,Johnson,Bristol,2024-12-18
11,Liam,Smith,Edinburgh,2025-07-03
12,David,Evans,Manchester,2025-07-19
13,Mia,Walker,Bristol,2025-08-14
14,James,Johnson,London,2025-11-08
15,Sofia,Wilson,Manchester,2024-08-26
16,David,Evans,Liverpool,2025-04-09
17,Isla,Brown,Bristol,2024-12-29
18,James,Wilson,Manchester,2025-09-15
19,Olivia,Roberts,Leeds,2024-06-16
20,Leo,Evans,Liverpool,2025-10-17
21,Sofia,Davies,London,2024-08-22
22,Bob,Davies,Glasgow,2024-10-01
23,Charlie,Taylor,Nottingham,2024-11-18
24,James,Thomas,Glasgow,2025-10-20
25,Leo,Brown,Liverpool,2024-05-22
26,Sofia,Roberts,Cardiff,2024-09-26
27,Grace,Walker,Glasgow,2025-01-05
28,Sofia,Brown,Cardiff,2025-05-20
29,Charlie,Smith,Manchester,2024-06-05
30,Olivia,Evans,Nottingham,2024-03-06
31,Ethan,Evans,Nottingham,2025-04-24
32,Liam,Roberts,London,2025-11-27
33,David,Roberts,Liverpool,2025-10-18
34,Noah,Johnson,Liverpool,2025-03-21
35,Olivia,Thomas,London,2024-09-26
36,Olivia,Roberts,Manchester,2025-10-02
37,Mia,Roberts,Nottingham,2024-07-22
38,Emma,Davies,Birmingham,2025-07-06
39,Alice,Walker,Bristol,2025-05-15
40,Alice,Johnson,Bristol,2024-11-10
41,Sofia,Smith,Leeds,2025-08-03
42,Charlie,Johnson,Edinburgh,2024-03-11
43,Emma,Brown,Edinburgh,2025-07-16
44,Olivia,Wilson,Cardiff,2025-09-13
45,Grace,Taylor,Cardiff,2025-12-07
46,James,Wilson,Glasgow,2025-11-18
47,Isla,Thomas,Cardiff,2025-04-07
48,David,Taylor,Leeds,2024-03-06
49,Noah,Smith,Nottingham,2025-07-21
50,Sofia,Walker,Leeds,2024-01-08
51,Charlie,Smith,Leeds,2024-03-10
52,Bob,Davies,Manchester,2025-06-10
53,Sofia,Wilson,Edinburgh,2024-08-07
54,Emma,Walker,Nottingham,2025-04-29
55,Sofia,Thomas,Glasgow,2024-07-13
56,David,Johnson,Glasgow,2024-12-28
57,Grace,Evans,Edinburgh,2024-02-25
58,David,Smith,Glasgow,2024-12-13
