employee_id,first_name,last_name,department,hire_date
1,Leo,Taylor,Support,2024-01-01
2,David,Evans,Finance,2024-01-01
3,David,Brown,Finance,2024-01-01
4,Amelia,Roberts,Marketing,2024-01-01
5,Olivia,Johnson,Sales,2024-01-01
6,Olivia,Johnson,Finance,2024-01-01
7,Olivia,Johnson,Marketing,2024-01-01
8,Liam,Roberts,Finance,2024-01-01
9,Olivia,Walker,Operations,2024-01-01
10,Noah,Thomas,Operations,2024-01-01
11,Leo,Taylor,Finance,2024-01-01
12,Sofia,Roberts,Marketing,2024-01-01
13,David,Roberts,Marketing,2024-01-01
14,Noah,Evans,Sales,2024-01-01
15,Noah,Taylor,Operations,2024-01-01
16,Leo,Smith,Finance,2024-01-01
17,Grace,Evans,Sales,2024-01-01
18,Leo,Thomas,Sales,2024-01-01
19,Ethan,Thomas,Marketing,2024-01-01
20,Ethan,Roberts,Marketing,2024-01-01
21,Alice,Davies,Sales,2024-01-01
22,Ethan,Roberts,Marketing,2024-01-01
23,Charlie,Brown,Marketing,2024-01-01
24,Sofia,Davies,Support,2024-01-01
25,Olivia,Johnson,Finance,2024-01-01
26,Isla,Smith,Support,2024-01-01
27,Leo,Johnson,Support,2024-01-01
28,Ethan,Walker,Marketing,2024-01-01
29,Charlie,Roberts,Marketing,2024-01-01
30,Charlie,Walker,Marketing,2024-01-01
31,Noah,Walker,Finance,2024-01-01
32,Leo,Walker,Sales,2024-01-01
33,Liam,Taylor,Finance,2024-01-01
34,Mia,Roberts,Sales,2024-01-01
35,Olivia,Brown,Sales,2024-01-01
36,Noah,Smith,Operations,2024-01-01
37,Sofia,Roberts,Finance,2024-01-01
38,Liam,Roberts,Support,2024-01-01
39,Emma,Wilson,Operations,2024-01-01
40,Noah,Walker,Operations,2024-01-01
